"Gene","Source","Df","Sum_Sq","Mean_Sq","F_value","P_value"
"PMD1","Within_Groups",4,0.683539190477257,0.170884797619314,NA,NA
"PMI40","Between_Groups",1,3207.09940267545,3207.09940267545,170.877407461088,0.000197708546134084
"PMI40","Within_Groups",4,75.0736905557459,18.7684226389365,NA,NA
"PML1","Between_Groups",1,86.7439262652661,86.7439262652661,5.63490893100714,0.0765040014800357
"PML1","Within_Groups",4,61.5760980894946,15.3940245223736,NA,NA
"PML39","Between_Groups",1,22.6358232379155,22.6358232379155,235.376073631815,0.000105299173349581
"PML39","Within_Groups",4,0.384675007763507,0.0961687519408768,NA,NA
"PMP1","Between_Groups",1,637492.419924977,637492.419924977,22.4549464527874,0.00904609288565448
"PMP1","Within_Groups",4,113559.374771227,28389.8436928066,NA,NA
"PMP2","Between_Groups",1,290533.697899183,290533.697899183,632.413568723819,1.48451482886381e-05
"PMP2","Within_Groups",4,1837.61837043102,459.404592607756,NA,NA
"PMP3","Between_Groups",1,429836.85360249,429836.85360249,52.7855610928615,0.00190620214755178
"PMP3","Within_Groups",4,32572.3053579983,8143.07633949957,NA,NA
"PMR1","Between_Groups",1,0.681390893139533,0.681390893139533,0.959937835099241,0.382676847623843
"PMR1","Within_Groups",4,2.83931258139893,0.709828145349733,NA,NA
"PMS1","Between_Groups",1,31.8956713468712,31.8956713468712,798.796290713802,9.32530973525511e-06
"PMS1","Within_Groups",4,0.159718675300154,0.0399296688250384,NA,NA
"PMT1","Between_Groups",1,2.4309137059639,2.4309137059639,0.462791149725441,0.533659859324887
"PMT1","Within_Groups",4,21.0108919101507,5.25272297753767,NA,NA
"PMT2","Between_Groups",1,189.071194938545,189.071194938545,4.39691270979145,0.104018872667746
"PMT2","Within_Groups",4,172.003591990811,43.0008979977029,NA,NA
"PMT3","Between_Groups",1,49.4739913022795,49.4739913022795,9.56903491406074,0.036454289759941
"PMT3","Within_Groups",4,20.6808698041565,5.17021745103912,NA,NA
"PMT4","Between_Groups",1,73.4978307358911,73.4978307358911,25.6230884452491,0.00717085481184681
"PMT4","Within_Groups",4,11.4736880205428,2.86842200513571,NA,NA
"PMT5","Between_Groups",1,3.0281872383889,3.0281872383889,1.33861923260463,0.311665614835888
"PMT5","Within_Groups",4,9.04868887173177,2.26217221793294,NA,NA
"PMT6","Between_Groups",1,97.4074955130119,97.4074955130119,202.661216217263,0.00014140246110132
"PMT6","Within_Groups",4,1.92256806371054,0.480642015927636,NA,NA
"PMT7","Between_Groups",1,31.7866716129239,31.7866716129239,52.6110105678472,0.00191812229011454
"PMT7","Within_Groups",4,2.41673149934512,0.60418287483628,NA,NA
"PMU1","Between_Groups",1,11442.0162414182,11442.0162414182,701.597019248183,1.20742534723903e-05
"PMU1","Within_Groups",4,65.2341211693247,16.3085302923312,NA,NA
"PNC1","Between_Groups",1,617180.439452364,617180.439452364,582.721013432435,1.74693835479961e-05
"PNC1","Within_Groups",4,4236.54150254133,1059.13537563533,NA,NA
"PNG1","Between_Groups",1,59.067472044835,59.067472044835,13.6103143313481,0.021033183856748
